town,price,size,bedrooms,bathrooms
Woodlands,1100000,189,6,3
Toa Payoh,1028000,93,3,2
Pasir Ris,788000,149,4,2
Pasir Ris,750000,147,4,2
Yishun,798000,148,4,3
Sembawang,478000,90,3,2
Yishun,560000,92,3,2
Sembawang,550000,93,3,2
Sengkang,558888,109,3,2
Sengkang,718800,90,3,2
Marine Parade,950000,120,3,2
Sembawang,680000,131,4,2
Queenstown,620000,68,2,2
Tampines,450000,74,3,2
Jurong West,548000,93,3,2
Sengkang,330000,46,1,1
Queenstown,490000,82,3,2
Jurong West,590000,110,3,2
Bukit Batok,688000,132,2,2
Bedok,520000,94,3,2
Toa Payoh,808000,93,3,0
Choa Chu Kang,548000,92,3,2
Sengkang,330000,46,1,1
Woodlands,890000,158,4,3
Kallang/Whampoa,350000,60,2,2
Bedok,550000,92,3,2
Bukit Panjang,750000,130,4,2
Bukit Batok,360000,64,2,2
Woodlands,980000,177,4,2
Sengkang,550000,110,3,2
Jurong West,358000,73,2,2
Sembawang,535000,93,3,2
Toa Payoh,808000,93,3,2
Toa Payoh,1060000,143,4,2
Yishun,718000,121,4,2
Jurong West,850000,139,3,2
Jurong West,499000,1301,3,2
Woodlands,469000,66,2,2
Toa Payoh,928000,83,2,1
Bukit Batok,538000,94,3,2
Jurong East,388000,82,2,2
Bukit Panjang,558000,110,3,2
Bishan,898000,121,3,2
Sengkang,470000,94,3,2
Woodlands,650000,125,4,2
Clementi,970000,93,3,2
Jurong West,600000,118,3,2
Sengkang,550000,93,3,2
Bukit Panjang,850000,143,3,2
Bukit Panjang,850000,143,3,2
Bukit Merah,890000,93,3,2
Punggol,358000,37,1,1
Geylang,330000,60,2,2
Toa Payoh,388000,65,3,1
Hougang,488888,84,3,2
Bukit Merah,1280000,93,3,2
Punggol,598000,93,3,2
Toa Payoh,448000,68,2,1
Punggol,638000,90,3,2
Ang Mo Kio,799999,110,3,2
Yishun,615000,121,3,2
Punggol,780000,113,3,2
Hougang,528000,104,3,2
